ID,Filename,Language,Person responsible,Company,Domain,Industry,Product,Company description,Industry | Company description,Actiontitle,Number of characters Actiontitle,Initial situation,Number of characters Initial situation,Solution concept,KPI 1,Description KPI 1,KPI 2,Description KPI 2,KPI 3,Description KPI 3,KPI 4,Description KPI 4,Statement,Picture_1,Picture field
1,,en,"Bunk, Justus",unknown,Product & Service Excellence,Drive Technology,Lifting Drives,Provider of industrial drive systems,Drive Technology | Provider of industrial drive systems,Innovative Standardization in Crane and Lifting Drive Systems,61,The company faced a challenge with high technical diversity due to industry-specific solutions and special custom designs. Efforts towards standardization required a deep understanding of market and customer demands. The goal was to develop standardized industry solutions to streamline production and meet customer expectations.,329,"Market and customer requirements analysis for new lifting drive concepts
Quantified weighting of product features and customer evaluations
Assessment of innovation concepts from customer perspective
Action recommendations for new product concepts, technical feasibility checked
Documentation to create decision-making templates
Development of standardized production processes",25%,Reduction in overengineering through precise market and internal evaluations,15%,Increase in customer satisfaction due to alignment of product attributes with market needs,30%,Improvement in production efficiency by transforming special solutions into standardized ones,10%,Reduction in time-to-market for new products through standardized development processes,"The standardization brought significant operational efficiency and market alignment, enhancing overall performance.",,
1,,de,"Bunk, Justus",unknown,Produkt- und Service-Exzellenz,Antriebstechnik,Hebeantriebe,Anbieter von industriellen Antriebssystemen,Antriebstechnik | Anbieter von industriellen Antriebssystemen,Innovative Standardisierung in Kran- und Hebeantriebssystemen,61,"Das Unternehmen stand vor einer Herausforderung mit hoher technischer Vielfalt aufgrund von branchenspezifischen Lösungen und speziellen kundenspezifischen Designs. Bestrebungen zur Standardisierung erforderten ein tiefes Verständnis der Markt- und Kundenanforderungen. Das Ziel war es, standardisierte Branchenlösungen zu entwickeln, um die Produktion zu rationalisieren und die Kundenerwartungen zu erfüllen.",410,"Analyse der Markt- und Kundenanforderungen für neue Hebeantriebskonzepte
Quantifizierte Gewichtung von Produkteigenschaften und Kundenbewertungen
Bewertung von Innovationskonzepten aus Kundensicht
Empfehlungen für neue Produktkonzepte, technische Machbarkeit geprüft
Dokumentation zur Erstellung von Entscheidungsgrundlagen
Entwicklung standardisierter Produktionsprozesse",25%,Reduktion von Überengineering durch präzise Markt- und interne Bewertungen,15%,Erhöhung der Kundenzufriedenheit durch Anpassung der Produkteigenschaften an die Marktbedürfnisse,30%,Verbesserung der Produktionseffizienz durch Umwandlung von Speziallösungen in standardisierte Lösungen,10%,Reduzierung der Markteinführungszeit für neue Produkte durch standardisierte Entwicklungsprozesse,"Die Standardisierung brachte erhebliche betriebliche Effizienz und Marktanpassung, was die Gesamtleistung verbesserte.",,
2,,en,"von Waldow, Ulrich",Interroll,Production & Supply Chain Management,Intralogistics and Supply Chain Management,Modular Pallet Platform (MPP),A leading provider of material handling solutions in the intralogistics industry.,Intralogistics and Supply Chain Management | A leading provider of material handling solutions in the intralogistics industry.,Global Competitiveness through Trade Fair Insights,50,"Interroll aimed to enhance its Modular Pallet Platform's global competitiveness by aligning with market needs and innovation trends in the US and Europe. The company faced challenges in understanding diverse customer requirements and competitive offerings across different regions. To address this, structured audits were conducted at major trade fairs, LogiMAT in Stuttgart and ProMat in Chicago, to gather insights on customer expectations, market trends, and competitor strategies.",484,"Conducted structured audits at LogiMAT and ProMat using TCW's framework.
Performed guided interviews, benchmarking, and cross-functional analysis.
Created a consolidated insight report with strategic recommendations.
Developed a repeatable audit methodology for future trade shows.
Aligned product optimization with global standardization needs.
Enhanced understanding of regional market demands.",20%,Increase in customer satisfaction through tailored solutions.,15%,Reduction in product development time by aligning with market needs.,25%,Improvement in market share in the US and European markets.,30%,Increase in trade fair engagement and lead generation.,Trade fair insights were leveraged to enhance global competitiveness and align product offerings with market demands.,,
2,,de,"von Waldow, Ulrich",Interroll,Produktion & Supply Chain Management,Intralogistik und Supply Chain Management,Modulare Palettenplattform (MPP),Ein führender Anbieter von Materialflusssystemen in der Intralogistikbranche.,Intralogistik und Supply Chain Management | Ein führender Anbieter von Materialflusssystemen in der Intralogistikbranche.,Globale Wettbewerbsfähigkeit durch Messeerkenntnisse,52,"Interroll wollte die globale Wettbewerbsfähigkeit seiner Modularen Palettenplattform verbessern, indem es sich an den Marktbedürfnissen und Innovationstrends in den USA und Europa orientierte. Das Unternehmen stand vor der Herausforderung, die unterschiedlichen Kundenanforderungen und Wettbewerbsangebote in verschiedenen Regionen zu verstehen. Um dies anzugehen, wurden strukturierte Audits auf den großen Messen LogiMAT in Stuttgart und ProMat in Chicago durchgeführt, um Einblicke in Kundenerwartungen, Markttrends und Wettbewerbsstrategien zu gewinnen.",557,"Durchführung strukturierter Audits auf LogiMAT und ProMat unter Verwendung des TCW-Rahmens.
Durchführung geführter Interviews, Benchmarking und funktionsübergreifender Analysen.
Erstellung eines konsolidierten Erkenntnisberichts mit strategischen Empfehlungen.
Entwicklung einer wiederholbaren Audit-Methodik für zukünftige Messen.
Ausrichtung der Produktoptimierung an den Bedürfnissen der globalen Standardisierung.
Verbesserung des Verständnisses der regionalen Marktnachfrage.",20%,Steigerung der Kundenzufriedenheit durch maßgeschneiderte Lösungen.,15%,Reduzierung der Produktentwicklungszeit durch Ausrichtung an den Marktbedürfnissen.,25%,Verbesserung des Marktanteils in den USA und europäischen Märkten.,30%,Steigerung des Messeengagements und der Lead-Generierung.,"Messeerkenntnisse wurden genutzt, um die globale Wettbewerbsfähigkeit zu verbessern und das Produktangebot an die Marktnachfrage anzupassen.",,
3,,en,"von Waldow, Ulrich",Interroll,Production & Supply Chain Management,Agriculture,Tractors,"A global leader in the design, manufacture, and distribution of agricultural equipment.","Agriculture | A global leader in the design, manufacture, and distribution of agricultural equipment.",Boosting Competitiveness in South America,41,"AGCO South America has launched over 90 new tractor models in the last three years, shifting from a cost leader to focusing on innovation and performance. However, these advantages have not translated into a market price premium. Significant cost reductions are needed, and the portfolio requires complexity reduction. Some synergies have been exploited between brands, but old models are not phased out, leading to a complex portfolio and unclear brand positioning.",466,"Conducted a structured trade fair audit at Agrishow 2019.
Performed competitive benchmarking and portfolio analysis.
Implemented a product clinic for cost reduction.
Utilized conjoint analysis to align products with customer needs.
Streamlined product portfolio using Euclidean Distance analysis.
Reduced complexity in product offerings.",19-25 mn USD,Identified cost reduction potential.,10-15%,Required cost reduction for tractors.,75%,Sales generated by top 7 Massey Ferguson models.,30 weeks,Timeframe to derive optimal products for Brazilian market.,The case study highlights a strategic approach to regain market leadership in South America by optimizing its product portfolio and aligning with customer needs.,,
3,,de,"von Waldow, Ulrich",Interroll,Produktion & Lieferkettenmanagement,Landwirtschaft,Traktoren,"Ein weltweit führendes Unternehmen in der Konstruktion, Herstellung und dem Vertrieb von landwirtschaftlichen Geräten.","Landwirtschaft | Ein weltweit führendes Unternehmen in der Konstruktion, Herstellung und dem Vertrieb von landwirtschaftlichen Geräten.",Steigerung der Wettbewerbsfähigkeit in Südamerika,49,"AGCO Südamerika hat in den letzten drei Jahren über 90 neue Traktormodelle auf den Markt gebracht und sich von einem Kostenführer zu einem Unternehmen entwickelt, das sich auf Innovation und Leistung konzentriert. Diese Vorteile haben sich jedoch nicht in einem Marktpreisaufschlag niedergeschlagen. Es sind erhebliche Kostensenkungen erforderlich, und das Portfolio erfordert eine Reduzierung der Komplexität. Einige Synergien wurden zwischen den Marken genutzt, aber alte Modelle werden nicht ausgemustert, was zu einem komplexen Portfolio und einer unklaren Markenpositionierung führt.",588,"Durchführung eines strukturierten Messeaudits auf der Agrishow 2019.
Durchführung von Wettbewerbsbenchmarking und Portfolioanalyse.
Durchführung einer Produktklinik zur Kostensenkung.
Verwendung der Conjoint-Analyse, um Produkte an Kundenbedürfnisse anzupassen.
Vereinfachung des Produktportfolios durch Euclidean Distance-Analyse.
Reduzierung der Komplexität im Produktangebot.",19-25 Mio. USD,Identifiziertes Kostensenkungspotenzial.,10-15%,Erforderliche Kostensenkung für Traktoren.,75%,"Umsatz, der durch die Top 7 Massey Ferguson-Modelle generiert wird.",30 Wochen,Zeitraum zur Ableitung optimaler Produkte für den brasilianischen Markt.,"Die Fallstudie hebt einen strategischen Ansatz hervor, um die Marktführerschaft in Südamerika zurückzugewinnen, indem das Produktportfolio optimiert und an die Kundenbedürfnisse angepasst wird.",,
4,,en,"von Waldow, Ulrich",unknown,Product & Service Excellence,Agricultural machinery,Tractors,TCW client: Agricultural machinery OEM in South America,Agricultural machinery | TCW client: Agricultural machinery OEM in South America,Trade fair audit cuts costs and regains share for TCW client,60,"TCW client in South America launched over 90 new tractor models in three years, shifting from a cost-leader legacy to higher-spec generations. Despite added performance, the market grants no price premium; share is eroded by low-cost entrants and service-led rivals. The portfolio is complex, with overlapping brands and slow phase-outs, causing cannibalization and high complexity costs. Localization to Brazilian specs is inconsistent. A double-digit (10–15%+) cost reduction is required.",490,"Structured trade fair audit with interviews, photo log and checklists
Euclidean distance analysis to reveal gaps, overlaps and focus
Conjoint survey to quantify needs, pricing and option packages
Product clinic tear-down, DFMA and supplier workshops for cost-out
Feature-based pricing and service bundles to realize price premium
Implementation roadmap, quick wins and KPI tracking for delivery",$22.0m p.a. (-10.4%),Annual manufacturing cost reduction via product clinic and DFMA,-10%,Variant count cut through distance analysis and portfolio streamlining,+4.2% ASP,Price realization uplift from feature-based pricing and services,+1.8 pp,Market share increase in 81–140 hp segment within 12 months,A structured audit and analytics-led design cut costs and rebuilt share.,,
4,,de,"von Waldow, Ulrich",unknown,Produkt- und Service-Exzellenz,Landmaschinen,Traktoren,TCW-Kunde: Landmaschinen-OEM in Südamerika,Landmaschinen | TCW-Kunde: Landmaschinen-OEM in Südamerika,Messe-Audit senkt Kosten und gewinnt Marktanteile für einen TCW-Kunden zurück,77,"Ein TCW-Kunde in Südamerika brachte innerhalb von drei Jahren über 90 neue Traktormodelle auf den Markt und verlagerte sich von einer Kostenführer-Vergangenheit auf höher spezifizierte Generationen. Trotz zusätzlicher Leistung gewährt der Markt keinen Preisaufschlag; der Marktanteil wird durch Billiganbieter und serviceorientierte Wettbewerber erodiert. Das Portfolio ist komplex, mit sich überlappenden Marken und langsamen Ausläufen, was zu Kannibalisierung und hohen Komplexitätskosten führt. Die Lokalisierung auf brasilianische Spezifikationen ist uneinheitlich. Eine zweistellige (10–15%+) Kostenreduktion ist erforderlich.",631,"Strukturiertes Messe-Audit mit Interviews, Fotoprotokoll und Checklisten
Euklidische Distanzanalyse zur Offenlegung von Lücken, Überlappungen und Schwerpunkten
Conjoint-Umfrage zur Quantifizierung von Bedarfen, Preisgestaltung und Optionspaketen
Produktklinik-Teardown, DFMA und Lieferantenworkshops zur Kostensenkung
Merkmalsbasierte Preisgestaltung und Service-Bundles zur Realisierung eines Preisaufschlags
Implementierungsfahrplan, Quick Wins und KPI-Tracking für die Umsetzung","$22,0 Mio. p.a. (-10,4 %)",Jährliche Reduktion der Herstellkosten durch Produktklinik und DFMA,-10 %,Reduktion der Variantenanzahl durch Distanzanalyse und Portfoliostraffung,"+4,2 % ASP",Verbesserte Preisdurchsetzung durch merkmalsbasierte Preisgestaltung und Serviceleistungen,"+1,8 Prozentpunkte",Marktanteilssteigerung im Segment 81–140 PS innerhalb von 12 Monaten,Ein strukturiertes Audit und eine analysegetriebene Gestaltung senkten die Kosten und stellten Marktanteile wieder her.,,
5,,en,"von Waldow, Ulrich",unknown,Product & Service Excellence,Intralogistics and material handling,Modular Pallet Platform (MPP),Global leader in conveyor components and modular material handling,Intralogistics and material handling | Global leader in conveyor components and modular material handling,Market insights fuel TCW client MPP roadmap and partner strategy,64,"At a 2025 intralogistics trade fair, a TCW client benchmarked pallet-handling peers to validate the MPP roadmap. The market is anchored in 400V drives and centralized controls; 89 mm rollers and 0.2–0.25 m/s speeds are standard. Large integrators differentiate via software, ERP/MFS integration, and SLAs. Hardware innovation is limited as niches and custom builds prevail. GCs set specs and outsource conveyors but protect service revenue. The client must raise MPP performance, software readiness, and partner strategy to accelerate adoption.",544,"Conduct conjoint analysis and VoC to prioritize MPP features and specs
Map ecosystem; segment GCs, mid-tier, assemblers; define partner tiers
Standardize MPP modules; redesign turntables; boost speed and pph
Develop 48V pilot with safety case; benchmark vs 400V TCO and uptime
Create integrator program: APIs, MFS templates, SLA-ready service kits
Introduce value pricing and modular quoting; cut time-to-quote by 30%",+18%,Increase in won bids with GCs and mid-tier integrators in 12 months,-32%,Reduction in time-to-quote via modular pricing and templates,320 pph,Peak line throughput after transfer/turntable redesign (+45%),CHF 22.5m,Qualified 12‑month pipeline generated by new integrator program,"Turn fair insights into a focused MPP roadmap, partners, and wins.",,
5,,de,"von Waldow, Ulrich",unknown,Produkt‑ und Service‑Exzellenz,Intralogistik und Materialhandling,Modulare Palettenplattform (MPP),Weltweit führend bei Fördertechnikkomponenten und modularer Intralogistik,Intralogistik und Materialhandling | Weltweit führend bei Fördertechnikkomponenten und modularer Intralogistik,Markteinblicke treiben die MPP‑Roadmap und Partnerstrategie des TCW‑Kunden voran,80,"Auf einer Intralogistik‑Fachmesse 2025 führte ein TCW‑Kunde ein Benchmarking mit Wettbewerbern im Palettenhandling durch, um die MPP‑Roadmap zu validieren. Der Markt ist in 400‑V‑Antrieben und zentralen Steuerungen verankert; 89‑mm‑Rollen und Geschwindigkeiten von 0.2–0.25 m/s sind Standard. Große Integratoren differenzieren sich über Software, ERP/MFS‑Integration und SLAs. Hardware‑Innovation ist begrenzt, da Nischen und kundenspezifische Anlagen überwiegen. Generalunternehmer (GCs) legen Spezifikationen fest und lagern Fördertechnik aus, schützen jedoch Serviceumsätze. Der Kunde muss die MPP‑Leistung, Software‑Readiness und Partnerstrategie verbessern, um die Einführung zu beschleunigen.",698,"Conjoint‑Analyse und VoC durchführen, um MPP‑Funktionen und ‑Spezifikationen zu priorisieren
Ökosystem abbilden; GCs, Mid‑Tier und Assemblierer segmentieren; Partnerstufen definieren
MPP‑Module standardisieren; Drehtische neu konstruieren; Geschwindigkeit und pph erhöhen
48‑V‑Pilot mit Sicherheitsnachweis entwickeln; Benchmark gegenüber 400‑V‑TCO und Verfügbarkeit
Integrator‑Programm erstellen: APIs, MFS‑Vorlagen, SLA‑fähige Service‑Kits
Value Pricing und modulare Angebotserstellung einführen; Time‑to‑Quote um 30% reduzieren",+18%,Zunahme gewonnener Ausschreibungen mit GCs und Mid‑Tier‑Integratoren in 12 Monaten,-32%,Reduktion der Time‑to‑Quote durch modulare Preisgestaltung und Vorlagen,320 pph,Spitzen‑Linien‑Durchsatz nach Transfer-/Drehtisch‑Redesign (+45%),CHF 22.5m,"Qualifizierte 12‑Monats‑Pipeline, generiert durch das neue Integrator‑Programm","Messe‑Erkenntnisse in eine fokussierte MPP‑Roadmap, Partnerschaften und Erfolge verwandeln.",,
